unit_category,tower_number,floor_area_sqft,size_segment,transaction_date,transaction_quarters,transaction_month,transaction_day,sale_price,price_segment,listing_status,client_id,client_type,date_of_birth,age,age_segment,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,buyers_type
Apartment,1,1201.5,Spacious,2024-01-01,1,January,Monday,322459.21,Mid-market,Sold,C0760,Individual,1964-12-27,61.0,Retirees,F,USA,California,Investment,3.0,No,Website,Global Investors
Office,1,1201.5,Spacious,2024-01-01,1,January,Monday,399122.68,Mid-market,Available,,,,,,,,,,,,,
Apartment,1,1146.11,Standard,2024-01-01,1,January,Monday,328475.64,Mid-market,Sold,C0661,Individual,1961-06-25,65.0,Retirees,F,Canada,Manitoba,Home,3.0,No,Website,First Time Buyers
Office,1,1146.11,Standard,2024-01-01,1,January,Monday,347062.19,Mid-market,Sold,C1813,Individual,1947-12-02,78.0,Retirees,M,Germany,Hamburg,Investment,3.0,Yes,Website,First Time Buyers
Apartment,1,1154.92,Standard,2024-01-01,1,January,Monday,372242.47,Mid-market,Sold,C0431,Individual,1969-05-05,57.0,Peak Earners,M,USA,California,Home,5.0,Yes,Website,Global Investors
Apartment,1,1154.92,Standard,2024-01-01,1,January,Monday,384462.57,Mid-market,Sold,C0054,Company,1967-02-15,59.0,Peak Earners,M,USA,Nevada,Investment,5.0,No,Website,Corporate Buyers
Apartment,1,757.2,Compact,2024-01-01,1,January,Monday,237620.45,Budget,Sold,C1363,Individual,1981-06-04,45.0,Peak Earners,M,USA,Georgia,Home,5.0,Yes,Agency,Corporate Buyers
Apartment,1,753.2900000000001,Compact,2024-01-01,1,January,Monday,261991.1,Budget,Available,,,,,,,,,,,,,
Apartment,1,619.7800000000001,Compact,2024-01-01,1,January,Monday,231461.08,Budget,Sold,C1547,Individual,1975-04-03,51.0,Peak Earners,F,USA,Florida,Home,2.0,Yes,Agency,Corporate Buyers
Apartment,1,1168.59,Standard,2024-01-01,1,January,Monday,339117.71,Mid-market,Sold,C0442,Individual,1975-04-14,51.0,Peak Earners,F,USA,Colorado,Home,3.0,Yes,Website,Corporate Buyers
Apartment,1,613.59,Compact,2024-01-01,1,January,Monday,165522.54,Budget,Available,,,,,,,,,,,,,
Apartment,2,788.72,Compact,2024-01-01,1,January,Monday,251478.61,Budget,Sold,C1969,Individual,1993-06-14,33.0,Peak Earners,M,USA,Colorado,Investment,2.0,Yes,Agency,Corporate Buyers
Apartment,2,1281.85,Spacious,2024-01-01,1,January,Monday,392174.2,Mid-market,Available,,,,,,,,,,,,,
Apartment,2,715.54,Compact,2024-01-01,1,January,Monday,188979.3,Budget,Sold,C0429,Individual,1995-11-05,30.0,Young Professionals,F,USA,California,Home,3.0,Yes,Website,Global Investors
Apartment,2,715.54,Compact,2024-01-01,1,January,Monday,212960.69,Budget,Sold,C1841,Individual,1947-05-27,79.0,Retirees,M,USA,New York,Home,4.0,No,Website,Corporate Buyers
Apartment,2,715.54,Compact,2024-01-01,1,January,Monday,184000.39,Budget,Sold,C0116,Individual,1955-08-07,70.0,Retirees,F,USA,California,Investment,4.0,No,Website,Global Investors
Apartment,2,584.19,Compact,2024-01-01,1,January,Monday,194033.05,Budget,Sold,C1634,Individual,1944-01-11,82.0,Retirees,F,USA,Georgia,Investment,2.0,No,Website,Corporate Buyers
Apartment,2,584.19,Compact,2024-01-01,1,January,Monday,184956.85,Budget,Sold,C1632,Individual,1963-07-12,63.0,Retirees,F,USA,California,Investment,3.0,Yes,Agency,Global Investors
Office,2,788.7900000000001,Compact,2024-01-01,1,January,Monday,274454.31,Budget,Available,,,,,,,,,,,,,
Office,2,788.7900000000001,Compact,2024-01-01,1,January,Monday,227511.01,Budget,Sold,C1189,Individual,1963-01-22,63.0,Retirees,M,USA,Florida,Home,2.0,Yes,Client,Corporate Buyers
Apartment,2,1625.05,Spacious,2024-01-01,1,January,Monday,523288.27,Premium,Sold,C0962,Individual,1940-07-18,86.0,Retirees,M,USA,California,Home,4.0,No,Website,Luxury Investors
Apartment,2,1625.05,Spacious,2024-01-01,1,January,Monday,507842.87,Premium,Sold,C0040,Individual,1975-03-22,51.0,Peak Earners,M,USA,Nevada,Home,5.0,No,Website,Luxury Investors
Apartment,2,1397.4,Spacious,2024-01-01,1,January,Monday,418864.27,Mid-market,Sold,C0102,Individual,1947-02-13,79.0,Retirees,M,USA,California,Investment,5.0,Yes,Website,Luxury Investors
Apartment,2,727.55,Compact,2024-01-01,1,January,Monday,223964.08,Budget,Sold,C1168,Individual,1998-12-25,27.0,Young Professionals,F,Germany,Hamburg,Home,2.0,Yes,Agency,First Time Buyers
Apartment,2,943.48,Standard,2024-01-01,1,January,Monday,313123.78,Mid-market,Sold,C1924,Individual,1958-01-03,68.0,Retirees,M,USA,California,Home,3.0,No,Client,Global Investors
Apartment,2,1577.79,Spacious,2024-01-01,1,January,Monday,465488.76,Premium,Sold,C1908,Individual,1976-03-28,50.0,Peak Earners,F,USA,California,Home,2.0,No,Website,Luxury Investors
Apartment,2,1577.79,Spacious,2024-01-01,1,January,Monday,483760.31,Premium,Sold,C0502,Individual,1966-11-28,59.0,Peak Earners,F,USA,Arizona,Home,4.0,No,Website,Luxury Investors
Apartment,2,1577.79,Spacious,2024-01-01,1,January,Monday,496217.67,Premium,Sold,C1860,Company,1970-07-17,56.0,Peak Earners,F,USA,California,Home,4.0,Yes,Agency,Luxury Investors
Apartment,2,650.6700000000001,Compact,2024-01-01,1,January,Monday,201554.99,Budget,Sold,C0533,Individual,1963-09-06,62.0,Retirees,M,USA,Nevada,Investment,1.0,No,Agency,Corporate Buyers
Apartment,2,1107.33,Standard,2024-01-01,1,January,Monday,362974.97,Mid-market,Sold,C0791,Individual,1983-01-07,43.0,Peak Earners,M,USA,Texas,Home,4.0,No,Website,Corporate Buyers
Apartment,2,931.4,Standard,2024-01-01,1,January,Monday,340373.72,Mid-market,Sold,C0738,Individual,1980-09-21,45.0,Peak Earners,M,USA,Texas,Home,5.0,No,Website,Corporate Buyers
Apartment,2,931.4,Standard,2024-01-01,1,January,Monday,344306.6,Mid-market,Sold,C0173,Individual,1976-07-20,50.0,Peak Earners,F,USA,Arizona,Home,5.0,Yes,Agency,Corporate Buyers
Apartment,2,1118.94,Standard,2024-01-01,1,January,Monday,337252.59,Mid-market,Available,,,,,,,,,,,,,
Apartment,2,1118.94,Standard,2024-01-01,1,January,Monday,311723.42,Mid-market,Sold,C1310,Individual,1955-05-04,71.0,Retirees,F,USA,New York,Home,5.0,No,Agency,Corporate Buyers
Apartment,2,697.74,Compact,2024-01-01,1,January,Monday,191398.42,Budget,Sold,C1996,Individual,1992-06-20,34.0,Peak Earners,F,USA,Nevada,Home,1.0,Yes,Website,Corporate Buyers
Apartment,2,697.74,Compact,2024-01-01,1,January,Monday,221686.72,Budget,Available,,,,,,,,,,,,,
Apartment,2,708.3199999999999,Compact,2024-01-01,1,January,Monday,199377.29,Budget,Sold,C1839,Individual,1943-01-21,83.0,Retirees,M,USA,California,Investment,2.0,No,Agency,Global Investors
Apartment,2,1617.9,Spacious,2024-01-01,1,January,Monday,485657.59,Premium,Sold,C0427,Individual,1994-09-06,31.0,Peak Earners,F,USA,California,Home,4.0,Yes,Website,Luxury Investors
Office,2,1604.8,Spacious,2024-01-01,1,January,Monday,535383.27,Premium,Available,,,,,,,,,,,,,
Apartment,2,722.22,Compact,2024-01-01,1,January,Monday,197039.82,Budget,Sold,C0046,Individual,1964-09-24,61.0,Retirees,F,USA,California,Home,5.0,No,Client,Global Investors
Apartment,3,689.75,Compact,2024-01-01,1,January,Monday,231937.37,Budget,Sold,C0374,Individual,1993-11-07,32.0,Peak Earners,F,Australia,New South Wales,Investment,4.0,Yes,Agency,First Time Buyers
Apartment,3,668.89,Compact,2024-01-01,1,January,Monday,203633.01,Budget,Sold,C0570,Individual,1965-06-03,61.0,Retirees,F,France,Occitanie,Home,5.0,Yes,Website,First Time Buyers
Apartment,3,744.01,Compact,2024-01-01,1,January,Monday,163682.2,Budget,Available,,,,,,,,,,,,,
Apartment,3,1125.84,Standard,2024-01-01,1,January,Monday,314372.82,Mid-market,Sold,C1977,Individual,1994-04-07,32.0,Peak Earners,M,USA,Virginia,Home,1.0,No,Website,Corporate Buyers
Apartment,3,1125.84,Standard,2024-01-01,1,January,Monday,361782.84,Mid-market,Sold,C0182,Individual,1971-12-02,54.0,Peak Earners,F,Germany,North Rhine-Westphalia,Investment,1.0,Yes,Website,First Time Buyers
Apartment,3,784.09,Compact,2024-01-01,1,January,Monday,245282.25,Budget,Sold,C1570,Individual,1963-12-27,62.0,Retirees,F,USA,Ohio,Home,5.0,No,Website,Corporate Buyers
Apartment,3,802.97,Standard,2024-01-01,1,January,Monday,227392.48,Budget,Sold,C0532,Individual,1979-08-12,46.0,Peak Earners,F,Belgium,Flanders,Home,2.0,No,Website,First Time Buyers
Apartment,3,1122.15,Standard,2024-01-01,1,January,Monday,375891.04,Mid-market,Sold,C1932,Individual,1962-05-13,64.0,Retirees,F,USA,California,Investment,2.0,No,Website,Global Investors
Apartment,3,776.04,Compact,2024-01-01,1,January,Monday,237580.39,Budget,Sold,C0866,Individual,1987-11-27,38.0,Peak Earners,M,Belgium,Brussels,Home,3.0,No,Agency,First Time Buyers
Apartment,3,765.56,Compact,2024-01-01,1,January,Monday,208271.84,Budget,Sold,C1802,Individual,1948-03-26,78.0,Retirees,M,USA,Nevada,Investment,1.0,No,Client,Corporate Buyers
Apartment,3,1117.14,Standard,2024-01-01,1,January,Monday,331813.63,Mid-market,Sold,C0006,Individual,1957-03-06,69.0,Retirees,M,USA,California,Home,3.0,Yes,Website,Global Investors
Apartment,3,679.93,Compact,2024-01-01,1,January,Monday,199964.39,Budget,Available,,,,,,,,,,,,,
Apartment,3,733.4499999999999,Compact,2024-01-01,1,January,Monday,255632.56,Budget,Available,,,,,,,,,,,,,
Office,3,1343.96,Spacious,2024-01-01,1,January,Monday,384762.61,Mid-market,Sold,C1567,Individual,1977-10-11,48.0,Peak Earners,M,USA,Georgia,Home,4.0,No,Client,Luxury Investors
Apartment,3,691.09,Compact,2024-01-01,1,January,Monday,194477.8,Budget,Sold,C0529,Individual,1973-11-14,52.0,Peak Earners,M,USA,Nevada,Home,4.0,Yes,Website,Corporate Buyers
Apartment,3,691.09,Compact,2024-01-01,1,January,Monday,223528.63,Budget,Sold,C1639,Individual,1943-09-26,82.0,Retirees,M,USA,Colorado,Home,1.0,No,Website,Corporate Buyers
Apartment,3,1174.48,Standard,2024-01-01,1,January,Monday,337065.29,Mid-market,Sold,C0778,Individual,1998-07-22,28.0,Young Professionals,M,USA,California,Investment,4.0,Yes,Agency,Global Investors
Apartment,3,1174.48,Standard,2024-01-01,1,January,Monday,376083.68,Mid-market,Sold,C1001,Individual,1981-07-13,45.0,Peak Earners,M,USA,California,Home,3.0,No,Website,Global Investors
Apartment,3,693.8499999999999,Compact,2024-01-01,1,January,Monday,221020.03,Budget,Sold,C1698,Individual,1950-12-05,75.0,Retirees,M,UK,Northern Ireland,Home,4.0,Yes,Website,First Time Buyers
Apartment,3,1179.42,Standard,2024-01-01,1,January,Monday,375142.73,Mid-market,Sold,C1312,Individual,1942-09-03,83.0,Retirees,M,USA,New York,Home,5.0,No,Website,Corporate Buyers
Apartment,3,1179.42,Standard,2024-01-01,1,January,Monday,353361.5,Mid-market,Sold,C0437,Individual,1990-10-05,35.0,Peak Earners,F,USA,Texas,Home,1.0,No,Website,Corporate Buyers
Office,3,1607.94,Spacious,2024-01-01,1,January,Monday,532909.35,Premium,Sold,C1012,Individual,1960-10-20,65.0,Retirees,M,USA,New York,Home,4.0,Yes,Website,Luxury Investors
Apartment,3,1588.14,Spacious,2024-01-01,1,January,Monday,442306.09,Premium,Sold,C1652,Individual,1964-01-15,62.0,Retirees,M,USA,Nevada,Investment,4.0,Yes,Client,Luxury Investors
Apartment,3,1588.14,Spacious,2024-01-01,1,January,Monday,495478.74,Premium,Sold,C1788,Individual,1989-10-27,36.0,Peak Earners,M,USA,California,Home,3.0,No,Website,Luxury Investors
Apartment,3,1353.02,Spacious,2024-01-01,1,January,Monday,353529.48,Mid-market,Sold,C1379,Individual,1970-06-11,56.0,Peak Earners,M,UK,Scotland,Home,2.0,No,Website,First Time Buyers
Apartment,3,1353.02,Spacious,2024-01-01,1,January,Monday,443089.55,Premium,Sold,C1262,Individual,1950-11-10,75.0,Retirees,F,USA,California,Investment,4.0,No,Agency,Luxury Investors
Apartment,4,1615.98,Spacious,2024-01-01,1,January,Monday,470821.82,Premium,Sold,C1267,Individual,1965-04-07,61.0,Retirees,F,USA,Colorado,Home,3.0,Yes,Website,Luxury Investors
Apartment,4,1630.82,Spacious,2024-01-01,1,January,Monday,495465.48,Premium,Sold,C0699,Individual,1986-12-22,39.0,Peak Earners,M,USA,Washington,Home,1.0,Yes,Agency,Luxury Investors
Apartment,4,786.98,Compact,2024-01-01,1,January,Monday,242144.72,Budget,Sold,C0391,Individual,1966-11-12,59.0,Peak Earners,F,USA,California,Home,5.0,No,Agency,Global Investors
Office,4,789.38,Compact,2024-01-01,1,January,Monday,253171.59,Budget,Sold,C1972,Individual,1972-01-05,54.0,Peak Earners,F,USA,California,Home,4.0,Yes,Website,Global Investors
Apartment,4,809.06,Standard,2024-01-01,1,January,Monday,241164.92,Budget,Sold,C0979,Individual,1940-02-25,86.0,Retirees,F,Canada,Quebec,Investment,4.0,No,Website,First Time Buyers
Apartment,4,760.39,Compact,2024-01-01,1,January,Monday,202489.6,Budget,Sold,C1314,Individual,1964-09-17,61.0,Retirees,F,USA,Arizona,Home,3.0,No,Website,Corporate Buyers
Apartment,4,780.6800000000001,Compact,2024-01-01,1,January,Monday,242054.22,Budget,Available,,,,,,,,,,,,,
Apartment,4,1294.91,Spacious,2024-01-01,1,January,Monday,330997.32,Mid-market,Sold,C0195,Individual,1947-06-19,79.0,Retirees,M,USA,California,Home,2.0,Yes,Website,Global Investors
Office,4,801.66,Standard,2024-01-01,1,January,Monday,256392.52,Budget,Sold,C0912,Individual,1949-05-11,77.0,Retirees,F,USA,California,Home,1.0,No,Agency,Global Investors
Apartment,4,1110.99,Standard,2024-01-01,1,January,Monday,363974.2,Mid-market,Sold,C1488,Individual,1975-09-07,50.0,Peak Earners,M,USA,Florida,Investment,2.0,No,Website,Corporate Buyers
Apartment,4,1307.35,Spacious,2024-01-01,1,January,Monday,399943.02,Mid-market,Sold,C1304,Individual,1985-06-08,41.0,Peak Earners,F,USA,California,Investment,1.0,No,Website,Global Investors
Apartment,4,734.73,Compact,2024-01-01,1,January,Monday,207033.36,Budget,Sold,C1064,Individual,1945-08-06,80.0,Retirees,M,USA,California,Home,5.0,Yes,Website,Global Investors
Apartment,4,779.87,Compact,2024-01-01,1,January,Monday,198773.78,Budget,Available,,,,,,,,,,,,,
Apartment,4,1160.48,Standard,2024-01-01,1,January,Monday,373889.7,Mid-market,Sold,C0490,Individual,1954-01-23,72.0,Retirees,F,USA,Nevada,Investment,5.0,Yes,Website,Corporate Buyers
Office,4,800.23,Standard,2024-01-01,1,January,Monday,248776.66,Budget,Sold,C1127,Individual,1943-06-15,83.0,Retirees,F,UK,England,Investment,1.0,No,Website,First Time Buyers
Apartment,4,805.88,Standard,2024-01-01,1,January,Monday,216571.38,Budget,Sold,C0036,Individual,1973-09-01,52.0,Peak Earners,M,USA,California,Home,4.0,No,Website,Global Investors
Apartment,4,802.11,Standard,2024-01-01,1,January,Monday,217380.34,Budget,Sold,C0552,Individual,1965-10-20,60.0,Peak Earners,M,USA,Virginia,Investment,3.0,No,Agency,Corporate Buyers
Office,4,802.11,Standard,2024-01-01,1,January,Monday,232641.21,Budget,Available,,,,,,,,,,,,,
Apartment,5,799.1,Compact,2024-01-01,1,January,Monday,259367.12,Budget,Sold,C1746,Individual,1959-06-14,67.0,Retirees,F,Belgium,Flanders,Home,3.0,No,Website,First Time Buyers
Apartment,5,799.1,Compact,2024-01-01,1,January,Monday,266288.33,Budget,Sold,C0454,Company,1961-04-01,65.0,Retirees,F,USA,Nevada,Investment,4.0,No,Agency,Corporate Buyers
Apartment,5,775.8499999999999,Compact,2024-01-01,1,January,Monday,208908.94,Budget,Available,,,,,,,,,,,,,
Apartment,5,793.56,Compact,2024-01-01,1,January,Monday,227070.24,Budget,Available,,,,,,,,,,,,,
Apartment,5,629.2700000000001,Compact,2024-01-01,1,January,Monday,194958.35,Budget,Sold,C1749,Individual,1956-05-27,70.0,Retirees,M,USA,California,Home,3.0,No,Website,Global Investors
Apartment,5,624.9599999999999,Compact,2024-01-01,1,January,Monday,211361.79,Budget,Sold,C1677,Individual,1964-12-20,61.0,Retirees,M,USA,Texas,Home,1.0,Yes,Website,Corporate Buyers
Apartment,5,804.8399999999999,Standard,2024-01-01,1,January,Monday,231233.66,Budget,Available,,,,,,,,,,,,,
Apartment,5,1006.65,Standard,2024-01-01,1,January,Monday,269137.96,Budget,Sold,C0642,Individual,1967-11-21,58.0,Peak Earners,F,USA,California,Home,4.0,No,Website,Global Investors
Apartment,5,1278.6,Spacious,2024-01-01,1,January,Monday,366303.84,Mid-market,Sold,C1862,Individual,1953-08-22,72.0,Retirees,M,USA,California,Home,1.0,Yes,Website,Global Investors
Apartment,5,1278.6,Spacious,2024-01-01,1,January,Monday,396653.03,Mid-market,Sold,C0250,Individual,1947-10-19,78.0,Retirees,M,UK,England,Home,2.0,No,Agency,First Time Buyers
Apartment,5,786.2800000000001,Compact,2024-01-01,1,January,Monday,246088.4,Budget,Available,,,,,,,,,,,,,
Apartment,5,1051.39,Standard,2024-01-01,1,January,Monday,340611.95,Mid-market,Sold,C1967,Individual,1957-10-09,68.0,Retirees,M,USA,Oregon,Investment,4.0,No,Agency,Corporate Buyers
Apartment,5,1787.13,Spacious,2024-01-01,1,January,Monday,503642.95,Premium,Sold,C1588,Individual,1980-10-25,45.0,Peak Earners,F,USA,Utah,Investment,5.0,No,Website,Luxury Investors
Apartment,5,1787.13,Spacious,2024-01-01,1,January,Monday,499753.6,Premium,Sold,C0227,Individual,1944-10-23,81.0,Retirees,F,USA,Arizona,Home,5.0,Yes,Website,Luxury Investors
Apartment,5,627.56,Compact,2024-01-01,1,January,Monday,184648.29,Budget,Available,,,,,,,,,,,,,
Apartment,5,591.14,Compact,2024-01-01,1,January,Monday,165812.56,Budget,Available,,,,,,,,,,,,,
Apartment,5,630.8299999999999,Compact,2024-01-01,1,January,Monday,168855.2,Budget,Sold,C0999,Individual,1969-09-15,56.0,Peak Earners,F,USA,California,Investment,3.0,No,Agency,Global Investors
Apartment,5,791.2,Compact,2024-01-01,1,January,Monday,212618.56,Budget,Sold,C0290,Individual,1962-01-01,64.0,Retirees,M,USA,California,Home,2.0,No,Website,Global Investors
Apartment,5,806.03,Standard,2024-01-01,1,January,Monday,237203.75,Budget,Available,,,,,,,,,,,,,
Apartment,5,806.03,Standard,2024-01-01,1,January,Monday,261814.63,Budget,Sold,C0919,Individual,1975-08-17,50.0,Peak Earners,F,Canada,Quebec,Investment,5.0,No,Agency,First Time Buyers
Apartment,5,608.89,Compact,2024-01-01,1,January,Monday,192992.54,Budget,Sold,C0780,Individual,1947-08-01,78.0,Retirees,F,USA,California,Home,3.0,No,Website,Global Investors
Office,6,1720.95,Spacious,2024-01-01,1,January,Monday,580829.46,Premium,Available,,,,,,,,,,,,,
Apartment,6,605.21,Compact,2024-01-01,1,January,Monday,185007.22,Budget,Sold,C1928,Individual,1998-02-20,28.0,Young Professionals,M,Australia,New South Wales,Home,4.0,Yes,Client,First Time Buyers
Apartment,6,1925.28,Spacious,2024-01-01,1,January,Monday,514067.14,Premium,Sold,C1274,Individual,1979-07-09,47.0,Peak Earners,F,USA,California,Investment,1.0,Yes,Website,Luxury Investors
Apartment,6,1617.43,Spacious,2024-01-01,1,January,Monday,447068.49,Premium,Sold,C0613,Individual,1995-10-02,30.0,Young Professionals,F,Australia,Victoria,Home,4.0,No,Agency,First Time Buyers
Apartment,6,1617.43,Spacious,2024-01-01,1,January,Monday,466754.91,Premium,Available,,,,,,,,,,,,,
Apartment,6,1075.42,Standard,2024-01-01,1,January,Monday,342584.5,Mid-market,Available,,,,,,,,,,,,,
Apartment,6,1075.42,Standard,2024-01-01,1,January,Monday,315829.36,Mid-market,Sold,C1975,Individual,1975-08-05,50.0,Peak Earners,F,Belgium,Wallonia,Home,4.0,No,Agency,First Time Buyers
Apartment,6,942.08,Standard,2024-01-01,1,January,Monday,255614.83,Budget,Sold,C1695,Individual,1955-12-13,70.0,Retirees,F,Belgium,Flanders,Home,5.0,No,Website,First Time Buyers
Apartment,6,1678.17,Spacious,2024-01-01,1,January,Monday,455861.82,Premium,Sold,C1710,Individual,1957-05-26,69.0,Retirees,M,Canada,Alberta,Investment,2.0,Yes,Website,First Time Buyers
Apartment,6,1890.0,Spacious,2024-01-01,1,January,Monday,494576.31,Premium,Sold,C1470,Individual,1940-05-27,86.0,Retirees,M,USA,Colorado,Investment,3.0,Yes,Agency,Luxury Investors
Apartment,6,1392.45,Spacious,2024-01-01,1,January,Monday,407106.37,Mid-market,Sold,C0715,Individual,1982-08-05,43.0,Peak Earners,F,USA,Utah,Home,3.0,No,Website,Luxury Investors
Apartment,6,1542.71,Spacious,2024-01-01,1,January,Monday,451237.67,Premium,Sold,C0159,Individual,1942-04-14,84.0,Retirees,M,USA,California,Home,3.0,No,Website,Luxury Investors
Apartment,6,1159.75,Standard,2024-01-01,1,January,Monday,343592.86,Mid-market,Sold,C1452,Individual,1993-08-05,32.0,Peak Earners,F,Belgium,Wallonia,Home,3.0,No,Client,First Time Buyers
Apartment,6,793.11,Compact,2024-01-01,1,January,Monday,276441.24,Budget,Sold,C1381,Individual,1962-06-16,64.0,Retirees,M,Germany,Hesse,Home,3.0,Yes,Website,First Time Buyers
Apartment,6,1579.99,Spacious,2024-01-01,1,January,Monday,530260.93,Premium,Available,,,,,,,,,,,,,
Apartment,6,562.37,Compact,2024-01-01,1,January,Monday,166043.13,Budget,Available,,,,,,,,,,,,,
Apartment,7,759.04,Compact,2024-01-01,1,January,Monday,227804.43,Budget,Sold,C1572,Individual,1960-06-10,66.0,Retirees,M,Australia,Queensland,Home,3.0,No,Agency,First Time Buyers
Apartment,7,1495.37,Spacious,2024-01-01,1,January,Monday,432295.29,Mid-market,Sold,C1616,Individual,1991-09-01,34.0,Peak Earners,M,UK,Wales,Investment,5.0,Yes,Website,First Time Buyers
Apartment,7,804.65,Standard,2024-01-01,1,January,Monday,250417.22,Budget,Available,,,,,,,,,,,,,
Apartment,7,714.65,Compact,2024-01-01,1,January,Monday,214564.09,Budget,Sold,C0282,Individual,1997-10-18,28.0,Young Professionals,F,USA,California,Investment,1.0,No,Website,Global Investors
